,Month,Municipality,Offence group and specifier for criminal act,Information,value
163,2009M06,WHOLE COUNTRY,1304a2 Rape in other private place,Offences known to the authorities (number),
164,2009M06,WHOLE COUNTRY,1304a3 Rape in a public business centre,Offences known to the authorities (number),
165,2009M06,WHOLE COUNTRY,1304a4 Rape in a public occasion,Offences known to the authorities (number),
166,2009M06,WHOLE COUNTRY,1304a5 Rape in other public place,Offences known to the authorities (number),
167,2009M06,WHOLE COUNTRY,"1304a6 Rape in a restaurant, etc.",Offences known to the authorities (number),
168,2009M06,WHOLE COUNTRY,1304a7 Rape in unknown place,Offences known to the authorities (number),
169,2009M06,WHOLE COUNTRY,"1305 Sexual assault, aggravated sexual assault, sexual abuse 20:3-5§",Offences known to the authorities (number),
170,2009M06,WHOLE COUNTRY,1306 Sexual harassment 20:6§,Offences known to the authorities (number),
171,2009M06,WHOLE COUNTRY,1306a1 Sexual harrasment on internet,Offences known to the authorities (number),
172,2009M06,WHOLE COUNTRY,1307 Non-consensual dissemination of a sexual image 20:7§,Offences known to the authorities (number),
173,2009M06,WHOLE COUNTRY,1307a1 Non-consensual dissemination of a sexual image on internet,Offences known to the authorities (number),
174,2009M06,WHOLE COUNTRY,"1308 Pandering, aggravated pandering, abuse of a victim of prostitution 20:8,10-11§",Offences known to the authorities (number),
175,2009M06,WHOLE COUNTRY,"1309 Rape of a child, aggravated rape of a child 20:12-13§",Offences known to the authorities (number),
176,2009M06,WHOLE COUNTRY,"1310 Sexual assault of a child, sexual abuse of a child, offering compensation to a young person for a sexual act, solicitation of a child for sexual purposes 20:14-20:16, 20:18§",Offences known to the authorities (number),
177,2009M06,WHOLE COUNTRY,"1310a1 Sexuall offence against child,  20:14-20:16, 20:18§, on internet",Offences known to the authorities (number),
178,2009M06,WHOLE COUNTRY,"1311 Dissemination of a sexually offensive image of a child, possession of a sexually offensive image of a child, following a sexually offensive performance of a child 20:19-22§",Offences known to the authorities (number),
179,2009M06,WHOLE COUNTRY,"1311a1 Dissemination, possession or following a sexually offensive performance of a child on internet",Offences known to the authorities (number),
180,2009M07,WHOLE COUNTRY,13 Sexual crimes,Offences known to the authorities (number),212.0
181,2009M07,WHOLE COUNTRY,"1301 Sexual abuse of a child, aggravated sexual abuse of a child, aggravated rape of a child 20:6-7, 7b (-2022)",Offences known to the authorities (number),104.0
182,2009M07,WHOLE COUNTRY,"1302 Rape, aggravated rape, rape (3 mom) 20:1-2 (-2022)",Offences known to the authorities (number),61.0
183,2009M07,WHOLE COUNTRY,1302a1 Rape in a private dwelling (-2022),Offences known to the authorities (number),30.0
184,2009M07,WHOLE COUNTRY,1302a2 Rape in other private place (-2022),Offences known to the authorities (number),6.0
185,2009M07,WHOLE COUNTRY,1302a3 Rape in a public business centre (-2022),Offences known to the authorities (number),0.0
186,2009M07,WHOLE COUNTRY,1302a4 Rape in a public occasion (-2022),Offences known to the authorities (number),0.0
187,2009M07,WHOLE COUNTRY,1302a5 Rape in other public place (-2022),Offences known to the authorities (number),24.0
188,2009M07,WHOLE COUNTRY,"1302a6 Rape in a restaurant, etc. (-2022)",Offences known to the authorities (number),1.0
189,2009M07,WHOLE COUNTRY,1302a7 Rape in unknown place (-2022),Offences known to the authorities (number),0.0
190,2009M07,WHOLE COUNTRY,"1303 Other sexual crimes 20:4-5,5a, 8-9 (-2022)",Offences known to the authorities (number),47.0
191,2009M07,WHOLE COUNTRY,"1304 Rape, aggravated rape 20:1-2",Offences known to the authorities (number),
